"Bedrijfskenmerken";"Marges";"Perioden";"Werknemers die verzuimd hebben/Recentste ziekteverzuim werkgerelateerd/Ja, hoofdzakelijk gevolg van mijn werk (%)";"Werknemers die verzuimd hebben/Recentste ziekteverzuim werkgerelateerd/Ja, voor een deel gevolg van mijn werk (%)";"Werknemers die verzuimd hebben/Recentste ziekteverzuim werkgerelateerd/Nee, geen gevolg van mijn werk (%)";"Werknemers die verzuimd hebben/Recentste ziekteverzuim werkgerelateerd/Weet niet (%)"
"A-U Alle economische activiteiten";"Waarde";"2023";7,1;12,3;73,8;6,9
"A Landbouw, bosbouw en visserij";"Waarde";"2023";7,3;10,8;72,9;9
"B Delfstoffenwinning";"Waarde";"2023";8,9;6,2;79,5;5,4
"C Industrie";"Waarde";"2023";7,8;10,4;74,9;6,9
"D Energievoorziening";"Waarde";"2023";5,3;11,6;79,1;4
"E Waterbedrijven en afvalbeheer";"Waarde";"2023";6,5;12,2;76,4;4,9
"F Bouwnijverheid";"Waarde";"2023";8,2;11,7;73;7,2
"G Handel";"Waarde";"2023";6,2;10,7;75,7;7,5
"H Vervoer en opslag";"Waarde";"2023";10;12,7;67,9;9,3
"I Horeca";"Waarde";"2023";5,7;11,5;75,4;7,4
"J Informatie en communicatie";"Waarde";"2023";5,4;10,5;79,5;4,5
"K Financiële dienstverlening";"Waarde";"2023";4,1;10,1;81,8;4
"L Verhuur en handel van onroerend goed";"Waarde";"2023";5,7;8,6;79,4;6,3
"M Specialistische zakelijke diensten";"Waarde";"2023";4,9;8,6;82,6;3,9
"N Verhuur en overige zakelijke diensten";"Waarde";"2023";8,2;12;71,7;8,1
"O Openbaar bestuur en overheidsdiensten";"Waarde";"2023";5,6;11;78,2;5,2
"P Onderwijs";"Waarde";"2023";7,5;16,5;68,6;7,4
"Q Gezondheids- en welzijnszorg";"Waarde";"2023";8,9;16,1;67,2;7,8
"R Cultuur, sport en recreatie";"Waarde";"2023";6,6;12,2;73,9;7,3
"S Overige dienstverlening";"Waarde";"2023";7,8;13,1;72,1;7
"T Huishoudens";"Waarde";"2023";;;;
"U Extraterritoriale organisaties";"Waarde";"2023";;;;
"1 tot 10 werknemers";"Waarde";"2023";6,7;10,7;75,2;7,5
"10 tot 100 werknemers";"Waarde";"2023";7,3;12,7;72,8;7,2
"100 tot 250 werknemers";"Waarde";"2023";7,2;12,6;73,8;6,4
"250 tot 500 werknemers";"Waarde";"2023";7,2;11,6;73,4;7,8
"500 tot 1 000 werknemers";"Waarde";"2023";7,9;11,9;74;6,2
"1 000 of meer werknemers";"Waarde";"2023";6,7;12,5;75;5,8
